Date,Total Morning New,Total Morning Old,Total Evening New,Total Evening Old,Total Morning,Total Evening,Total ,Day
"Friday,2023-09-01",503,310,108,37,813,145,958,Friday
"Saturday,2023-09-02",330,168,0,0,498,0,498,Saturday
"Monday,2023-09-04",529,240,111,37,769,148,917,Monday
"Tuesday,2023-09-05",427,258,143,42,685,185,870,Tuesday
"Wednesday,2023-09-06",490,189,117,47,679,164,843,Wednesday
"Thursday,2023-09-07",444,190,77,44,634,121,755,Thursday
"Friday,2023-09-08",374,195,102,41,569,143,712,Friday
"Saturday,2023-09-09",393,214,0,0,607,0,607,Saturday
"Monday,2023-09-11",568,278,91,29,846,120,966,Monday
"Tuesday,2023-09-12",459,248,141,38,707,179,886,Tuesday
"Wednesday,2023-09-13",461,214,119,22,675,141,816,Wednesday
"Thursday,2023-09-14",407,194,107,18,601,125,726,Thursday
"Friday,2023-09-15",367,201,108,25,568,133,701,Friday
"Saturday,2023-09-16",511,248,120,27,759,147,906,Saturday
"Monday,2023-09-18",511,248,120,27,759,147,906,Monday
"Wednesday,2023-09-20",628,267,120,43,895,163,1058,Wednesday
"Thursday,2023-09-21",628,267,120,43,895,163,1058,Thursday
"Saturday,2023-09-23",600,227,0,0,827,0,827,Saturday
"Monday,2023-09-25",636,280,151,44,916,195,1111,Monday
"Tuesday,2023-09-26",617,873,126,19,1490,145,1635,Tuesday
"Wednesday,2023-09-27",498,206,104,33,704,137,841,Wednesday
"Thursday,2023-09-28",159,65,0,0,224,0,224,Thursday
"Saturday,2023-09-30",424,190,0,0,614,0,614,Saturday
